park,entity_id,name_en,name_ja,icon,queue_type,queue_icon,weather_note,thrill_level,thrill_icon,thrill_note
東京ディズニーランド,037a13bf-b06e-4902-aa12-02d758d1718d,Beaver Brothers Explorer Canoes,ビーバーブラザーズのカヌー探険,🛶,屋外,☀️,雨・暑さ対策が必要,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,e541ad8f-1457-469a-8f35-457555f475ad,Peter Pan's Flight,ピーターパン空の旅,🧚,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,a853aadd-2337-435a-b0a3-2c03db96e5e1,Snow White's Adventures,白雪姫と七人のこびと,🍎,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,cfaa7d1c-111e-49b9-b21b-134eac4000e8,Alice's Tea Party,アリスのティーパーティー,☕,屋外,☀️,雨・暑さ対策が必要,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,a88464b5-2cf5-4ef1-b38f-96e07b233bf2,Pooh's Hunny Hunt,プーさんのハニーハント,🍯,屋根あり,☂️,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,73384e33-a86a-4601-996f-61dbffba6ec2,Roger Rabbit's Car Toon Spin,ロジャーラビットのカートゥーンスピン,🐰,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,534ca90a-2626-4a45-9b7b-1964ed15678e,Minnie's House,ミニーの家,🎀,一部屋根あり,🌦️,混雑時は濡れる可能性,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,52eb0fc9-5853-49c8-8c72-1e5e83aae1c1,Pirates of the Caribbean,カリブの海賊,🏴‍☠️,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,5f0425c4-7d35-4afd-bb28-6c73f1920b1f,Toon Park,トゥーンパーク,🎨,屋外,☀️,雨・暑さ対策が必要,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,55458c39-ee47-4b8d-ab07-991d12a0313d,Penny Arcade,ペニーアーケード,🕹️,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,6ee0697f-57ba-4c7b-8216-7c55b21288d4,Western River Railroad,ウエスタンリバー鉄道,🚂,屋根あり,☂️,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,cf1e721e-ba51-4e48-a2bc-b07883091e88,Omnibus,オムニバス,🚌,屋外,☀️,雨・暑さ対策が必要,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,05c7400b-866d-4d47-9cb1-8722fe6b22da,Stitch Encounter,スティッチ・エンカウンター,👽,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,f9321bc7-aa96-4a70-b963-681482384d1b,Swiss Family Treehouse,スイスファミリー・ツリーハウス,🌳,屋外,☀️,雨・暑さ対策が必要,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,4876ec54-92ed-4b0c-8b1b-292bba89c61c,Westernland Shootin' Gallery,ウエスタンランド・シューティングギャラリー,🎯,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,02a96ff7-da13-48b5-b1a8-f29d9f6109fc,Mark Twain Riverboat,蒸気船マークトウェイン号,🚢,屋根あり,☂️,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,52c5e406-67e2-4d37-aee8-987644d87b63,Gadget's Go Coaster,ガジェットのゴーコースター,🎢,屋外,☀️,雨・暑さ対策が必要,軽いスリル,⚠️,回転・揺れ・小さな落下など
東京ディズニーランド,83f11a48-0d22-4429-8e59-43fd611d6795,Country Bear Theater,カントリーベア・シアター,🐻,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,077c390c-c214-40c4-83e9-93d8f8621141,Tom Sawyer Island Rafts,トムソーヤ島いかだ,🛶,屋外,☀️,雨・暑さ対策が必要,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,e3577b4a-f1d9-4ec5-aacf-b99977ea88c9,Big Thunder Mountain,ビッグサンダー・マウンテン,⛰️,一部屋根あり,🌦️,混雑時は濡れる可能性,絶叫強め,😱,急降下・高速・強い揺れなど
東京ディズニーランド,74f17654-ceb1-4f12-9c19-ce6ed0587f33,Goofy's Paint 'n' Play House,グーフィーのペイント＆プレイハウス,🖌️,一部屋根あり,🌦️,混雑時は濡れる可能性,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,ca00a0e8-f069-4d0a-9d5e-10cb63010956,The Happy Ride with Baymax,ベイマックスのハッピーライド,🤖,屋外,☀️,雨・暑さ対策が必要,軽いスリル,⚠️,回転・揺れ・小さな落下など
東京ディズニーランド,e76670f0-9f5f-4918-8491-9bf51e73a596,Enchanted Tale of Beauty and the Beast,美女と野獣“魔法のものがたり”,🌹,一部屋根あり,🌦️,混雑時は濡れる可能性,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,4ed6a812-df04-4aa8-acb9-c6b164dbb706,"Monsters, Inc. Ride & Go Seek!",モンスターズ・インク“ライド＆ゴーシーク！”,👁️,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,1fb05b7d-953a-4fa7-b7ed-db2eb62b85bf,Castle Carrousel,キャッスルカルーセル,🎠,屋根あり,☂️,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,0de1b543-46fd-4c3f-81c8-31d0cab9ef63,“it's a small world”,イッツ・ア・スモールワールド,🌍,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーランド,8fce6b54-e3e4-40bb-a574-93c8327c3fab,Haunted Mansion,ホーンテッドマンション,👻,一部屋根あり,🌦️,混雑時は濡れる可能性,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,c0224e78-abf6-4f89-b0d4-38647a98dd4d,Fairy Tinker Bell's Busy Buggies,フェアリー・ティンカーベルのビジーバギー,🧚,一部屋根あり,🌦️,混雑時は濡れる可能性,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,6e44f5c0-f996-45ad-aa7e-9738df6a6047,Fortress Explorations,フォートレス・エクスプロレーション,🧭,一部屋根あり,🌦️,混雑時は濡れる可能性,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,f66e072d-8bab-48e5-b8cf-6d1947bd291b,Indiana Jones Adventure®: Temple of the Crystal Skull,インディ・ジョーンズ・アドベンチャー：クリスタルスカルの魔宮,💎,屋内,🏠,雨を避けやすい,絶叫強め,😱,急降下・高速・強い揺れなど
東京ディズニーシー,9fb0c97c-ebf7-4c25-8ea7-a3f4fe2aa9ec,Anna and Elsa's Frozen Journey,アナとエルサのフローズンジャーニー,❄️,一部屋根あり,🌦️,混雑時は濡れる可能性,軽いスリル,⚠️,回転・揺れ・小さな落下など
東京ディズニーシー,5449e9da-ee4c-47d8-a60a-8a964b94c32d,Big City Vehicles,ビッグシティ・ヴィークル,🚗,屋外,☀️,雨・暑さ対策が必要,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,71943126-e4ac-49c5-ac61-ac1687ad33af,Turtle Talk,タートル・トーク,🐢,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,a674e149-8ae3-4338-b1e3-c9f6b804f475,Ariel's Playground,アリエルのプレイグラウンド,🧜‍♀️,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,2d56558a-d4d2-4f79-898c-178c2c20cf67,Flounder's Flying Fish Coaster,フランダーのフライングフィッシュコースター,🐠,屋内,🏠,雨を避けやすい,軽いスリル,⚠️,回転・揺れ・小さな落下など
東京ディズニーシー,dd942cd2-b364-4262-af12-ca1a5012528b,Raging Spirits,レイジングスピリッツ,🔥,一部屋根あり,🌦️,混雑時は濡れる可能性,絶叫強め,😱,急降下・高速・強い揺れなど
東京ディズニーシー,179e4e82-26ed-4b04-bf21-f03808b61df4,Nemo & Friends SeaRider,ニモ＆フレンズ・シーライダー,🐟,屋内,🏠,雨を避けやすい,軽いスリル,⚠️,回転・揺れ・小さな落下など
東京ディズニーシー,2daf12ac-21fd-4bfd-bbf6-0c98bed03e8f,DisneySea Electric Railway (American Waterfront),ディズニーシー・エレクトリックレールウェイ（アメリカンウォーターフロント）,🚋,屋根あり,☂️,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,c8744918-42c0-427d-8947-c3dbd1abf8d5,DisneySea Electric Railway (Port Discovery),ディズニーシー・エレクトリックレールウェイ（ポートディスカバリー）,🚋,屋根あり,☂️,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,c8526be3-e82c-4692-ae44-e8f2d1142c8a,Journey to the Center of the Earth,センター・オブ・ジ・アース,🌋,屋内,🏠,雨を避けやすい,絶叫強め,😱,急降下・高速・強い揺れなど
東京ディズニーシー,7afc3143-befb-4a61-9c86-8d6869eb2ce3,DisneySea Transit Steamer Line (Mediterranean Harbor),ディズニーシー・トランジットスチーマーライン（メディテレーニアンハーバー）,🚢,屋根あり,☂️,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,de24aae5-66b9-469f-91f6-ef6c3f3b665c,DisneySea Transit Steamer Line (Lost River Delta),ディズニーシー・トランジットスチーマーライン（ロストリバーデルタ）,🚢,屋根あり,☂️,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,e8c15bc6-aaab-44ef-8285-1d92ebd2c47d,Peter Pan's Never Land Adventure,ピーターパンのネバーランドアドベンチャー,🧚,屋内,🏠,雨を避けやすい,軽いスリル,⚠️,回転・揺れ・小さな落下など
東京ディズニーシー,44df35ec-28cb-4465-9ae1-95a4d6445a82,The Leonardo Challenge,フォートレス・エクスプロレーション“ザ・レオナルドチャレンジ”,🗺️,一部屋根あり,🌦️,混雑時は濡れる可能性,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,2159960b-4f42-4974-93be-7519816de45d,Aquatopia,アクアトピア,💧,屋外,☀️,雨・暑さ対策が必要,軽いスリル,⚠️,回転・揺れ・小さな落下など
東京ディズニーシー,58815e8e-7c01-4a42-8a00-1bd1c82a0252,Scuttle's Scooters,スカットルのスクーター,🐦,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,abb5d6ec-469e-4ab0-8685-5f04e9749653,Toy Story Mania!,トイ・ストーリー・マニア！,🤠,一部屋根あり,🌦️,混雑時は濡れる可能性,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,2ca8f848-b8e2-4ba5-aa6e-e0fb37e85d0b,Venetian Gondolas,ヴェネツィアン・ゴンドラ,🚣,一部屋根あり,🌦️,混雑時は濡れる可能性,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,c6c0d34d-531a-40d9-b711-3497fd53c28b,Jumpin' Jellyfish,ジャンピン・ジェリーフィッシュ,🪼,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,f37d7fe8-169f-459d-86f3-4843655358bd,Blowfish Balloon Race,ブローフィッシュ・バルーンレース,🐡,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,7594d3f2-b3d1-47a0-b64f-8bc01d373830,The Whirlpool,ワールプール,🌀,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,abbf5b3e-94e5-420a-8257-34594cd9d590,Jasmine's Flying Carpets,ジャスミンのフライングカーペット,🧞,屋外,☀️,雨・暑さ対策が必要,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,c15da0f5-9668-48ee-b93a-8b737b6acf5b,"20,000 Leagues Under the Sea",海底2万マイル,🐙,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,dcad67fe-76bb-4df2-bf5b-aaf70e8efc12,The Magic Lamp Theater,マジックランプシアター,🪔,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,70c16669-c9ba-4f83-bd25-3cd9ea5a0b0c,Mermaid Lagoon Theater,マーメイドラグーンシアター,🧜‍♀️,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,3407ebac-c575-4c31-b794-1d271014d303,Soaring: Fantastic Flight,ソアリン：ファンタスティック・フライト,🪽,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,8dbc5d52-ef41-406d-aaad-eb2e6bb3eaea,DisneySea Transit Steamer Line (American Waterfront),ディズニーシー・トランジットスチーマーライン（アメリカンウォーターフロント）,🚢,屋根あり,☂️,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,4ca7254c-7abc-4e52-82e0-9c562c096494,Tower of Terror,タワー・オブ・テラー,🏨,一部屋根あり,🌦️,混雑時は濡れる可能性,絶叫強め,😱,急降下・高速・強い揺れなど
東京ディズニーシー,76aed95a-dce8-4d03-8c2a-8ad69b3d0d4a,Caravan Carousel,キャラバンカルーセル,🎠,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,63ef07eb-9bfb-4782-885e-cfd08ced82f0,Sindbad's Storybook Voyage,シンドバッド・ストーリーブック・ヴォヤッジ,⛵,屋内,🏠,雨を避けやすい,穏やか,🙂,大きな絶叫要素なし
東京ディズニーシー,10b5b89e-02a6-4456-9ddd-69e06c2bded4,Rapunzel's Lantern Festival,ラプンツェルのランタンフェスティバル,🏮,一部屋根あり,🌦️,混雑時は濡れる可能性,穏やか,🙂,大きな絶叫要素なし
